attendance,internal_marks,assignment_score,previous_gpa,study_hours,backlogs,class_participation,risk_level
82.5,67.3,59.2,5.76,5.0,2,48.0,HIGH
72.9,57.3,72.7,5.92,3.9,0,55.3,MEDIUM
84.7,67.2,61.8,10.0,1.2,3,75.6,MEDIUM
97.8,74.8,65.9,7.0,2.6,2,51.7,MEDIUM
71.5,65.9,95.1,8.17,3.5,0,65.8,MEDIUM
71.5,65.7,90.1,5.81,0.8,1,58.7,HIGH
98.7,52.4,50.5,5.83,2.5,3,67.6,HIGH
86.5,53.1,82.4,8.62,5.3,4,17.4,HIGH
68.0,39.8,82.2,4.98,6.9,0,28.4,MEDIUM
83.1,96.5,52.8,6.38,3.2,4,77.3,HIGH
68.0,42.6,82.3,7.05,5.5,2,85.7,HIGH
68.0,52.5,93.1,7.17,0.2,2,46.8,HIGH
78.6,52.1,53.2,6.73,5.3,0,60.1,MEDIUM
46.3,81.1,56.2,7.59,2.4,4,70.9,HIGH
49.1,59.7,85.3,8.04,4.6,1,78.9,MEDIUM
66.6,87.5,74.1,8.1,3.5,1,24.4,MEDIUM
59.8,52.9,78.3,5.52,6.6,4,47.3,HIGH
79.7,70.0,75.1,6.57,2.3,1,58.3,MEDIUM
61.4,50.0,75.9,8.79,5.3,0,79.1,MEDIUM
53.8,100.0,50.1,8.34,3.4,1,100.0,MEDIUM
97.0,43.6,85.7,4.94,,4,60.4,HIGH
71.6,70.6,87.5,7.53,3.6,0,36.9,MEDIUM
76.0,76.4,66.6,4.03,2.3,0,73.0,MEDIUM
53.6,72.4,69.3,7.07,4.0,1,91.4,MEDIUM
66.8,61.7,47.0,9.85,3.9,4,67.2,HIGH
76.7,62.7,77.7,5.58,4.5,4,46.9,HIGH
57.7,65.8,78.6,5.75,4.2,1,84.2,MEDIUM
80.6,62.4,69.1,8.15,5.6,1,78.3,MEDIUM
66.0,82.3,86.9,4.69,5.8,0,44.5,MEDIUM
70.6,100.0,65.0,6.05,1.9,0,72.6,MEDIUM
66.0,55.0,78.5,7.89,5.7,0,84.9,MEDIUM
100.0,40.3,54.7,6.05,1.6,0,88.6,MEDIUM
74.8,63.4,69.6,6.65,5.2,0,63.7,MEDIUM
59.1,100.0,67.4,8.12,5.2,2,57.8,MEDIUM
87.3,50.5,73.4,7.63,0.2,0,89.5,MEDIUM
56.7,94.5,64.5,7.4,4.2,4,40.8,HIGH
78.1,95.2,68.0,6.49,3.1,1,73.8,MEDIUM
45.6,55.0,82.4,7.56,2.5,0,37.6,MEDIUM
55.1,75.2,63.4,6.81,6.7,0,86.3,MEDIUM
78.0,94.3,45.9,7.69,2.7,0,59.8,MEDIUM
86.1,58.2,96.2,6.25,2.4,0,90.4,LOW
77.6,61.3,90.7,6.73,4.2,1,74.8,MEDIUM
73.3,54.5,50.6,5.52,5.4,3,40.5,HIGH
70.5,46.7,80.3,6.95,3.7,0,93.5,MEDIUM
52.8,53.3,62.5,5.78,6.3,1,96.0,MEDIUM
64.2,43.0,74.0,5.33,5.1,1,82.6,HIGH
68.1,65.6,74.4,7.39,0.0,0,49.8,MEDIUM
90.9,51.1,66.5,7.32,2.9,4,58.9,HIGH
80.2,69.2,58.2,8.17,2.9,0,67.9,MEDIUM
48.6,37.0,59.6,6.35,5.0,2,50.9,HIGH
79.9,71.0,56.3,7.61,0.0,0,98.8,MEDIUM
,80.0,57.5,7.83,9.1,1,67.9,MEDIUM
64.8,29.1,69.0,7.67,5.1,2,10.9,HIGH
84.2,71.7,59.3,5.76,4.3,0,71.8,MEDIUM
90.5,87.1,80.2,7.22,6.4,3,58.0,MEDIUM
89.0,43.2,92.3,7.55,8.7,3,63.5,MEDIUM
62.4,95.1,61.3,7.01,5.7,2,57.6,MEDIUM
70.4,72.5,73.6,3.87,5.9,0,81.1,MEDIUM
80.0,52.3,77.5,7.24,4.3,1,87.4,MEDIUM
89.6,64.0,77.1,10.0,3.7,1,70.7,MEDIUM
67.8,75.0,71.1,6.46,3.0,3,58.2,HIGH
72.2,66.4,81.1,5.91,2.3,0,64.2,MEDIUM
58.4,74.7,77.2,7.56,2.6,2,65.4,MEDIUM
57.1,48.4,51.4,7.47,1.3,0,49.0,MEDIUM
87.2,68.0,83.0,8.79,3.8,0,76.6,LOW
95.3,39.6,83.3,5.11,0.6,1,74.2,MEDIUM
73.9,63.0,58.6,8.1,4.4,4,95.8,HIGH
90.1,48.7,70.6,7.89,3.9,0,90.1,MEDIUM
80.4,51.8,80.2,6.79,4.3,0,51.3,MEDIUM
65.3,87.2,66.9,7.51,3.0,3,81.4,HIGH
80.4,84.6,86.1,8.54,10.2,4,46.0,MEDIUM
98.1,76.0,100.0,8.31,6.7,1,78.9,LOW
74.5,45.3,58.2,5.29,1.5,1,54.7,HIGH
98.5,59.3,49.3,8.23,4.5,2,44.5,MEDIUM
35.7,86.8,74.6,6.9,2.8,4,70.6,HIGH
87.3,67.6,80.8,7.11,2.0,0,11.5,MEDIUM
76.3,100.0,66.5,7.11,1.3,3,30.0,HIGH
70.5,72.1,91.8,6.77,4.9,2,61.5,MEDIUM
76.4,68.5,49.9,8.79,2.6,1,66.6,MEDIUM
45.2,59.4,80.4,6.87,5.9,0,57.6,MEDIUM
71.7,67.4,60.9,5.32,6.0,0,33.4,MEDIUM
80.4,62.3,95.8,6.41,6.7,1,48.6,MEDIUM
97.2,77.7,99.9,7.27,2.3,0,72.8,LOW
67.2,82.2,58.5,8.84,5.0,4,76.6,MEDIUM
62.9,50.9,61.8,7.9,5.3,4,64.7,HIGH
67.5,41.0,82.9,5.72,3.1,0,88.1,MEDIUM
88.7,31.9,64.2,10.0,2.5,1,72.9,MEDIUM
79.9,74.1,69.3,7.4,7.2,0,50.1,MEDIUM
67.1,45.1,70.4,8.91,4.5,2,59.4,MEDIUM
82.7,26.2,41.2,6.77,5.3,0,36.9,MEDIUM
76.5,72.0,69.8,7.8,2.4,1,62.8,MEDIUM
89.5,100.0,59.7,8.26,1.6,4,87.2,MEDIUM
64.5,64.9,62.6,8.83,2.9,0,78.7,MEDIUM
70.1,80.1,91.7,8.59,3.8,0,93.0,MEDIUM
69.1,66.5,51.2,8.31,1.9,0,58.9,MEDIUM
53.0,63.2,82.2,6.53,4.0,1,91.9,MEDIUM
79.4,81.5,65.8,6.14,0.6,1,61.1,MEDIUM
78.9,59.8,65.8,7.5,1.8,1,94.4,MEDIUM
75.1,69.8,81.9,8.4,5.3,1,64.6,MEDIUM
71.5,70.8,75.1,6.67,5.2,3,79.1,HIGH
53.8,53.0,78.6,8.6,3.2,1,94.5,MEDIUM
68.7,82.9,84.5,9.18,2.0,0,61.1,MEDIUM
69.9,61.9,65.0,5.63,1.9,0,69.4,MEDIUM
63.0,51.4,60.8,5.74,3.3,2,90.8,HIGH
72.6,74.7,53.7,6.79,5.3,3,62.3,HIGH
81.1,48.8,57.6,7.46,5.9,3,38.6,HIGH
100.0,65.5,100.0,6.21,3.0,4,100.0,MEDIUM
77.6,64.8,88.7,9.03,1.7,3,55.6,MEDIUM
78.9,84.5,49.7,7.64,4.5,1,68.2,MEDIUM
73.9,73.5,50.2,7.06,2.4,1,88.1,MEDIUM
46.2,64.5,77.2,4.85,3.0,0,52.8,MEDIUM
74.6,79.7,78.2,5.03,6.7,2,44.8,MEDIUM
75.9,90.0,78.2,7.42,5.7,0,70.1,LOW
100.0,75.0,66.2,3.8,,2,29.1,HIGH
72.1,65.2,68.1,8.52,1.5,0,59.2,MEDIUM
79.5,41.4,74.9,6.76,4.4,0,69.9,MEDIUM
74.5,45.8,71.3,10.0,6.1,4,59.6,HIGH
57.5,59.5,36.7,10.0,3.2,1,34.1,MEDIUM
92.1,54.0,66.6,6.73,6.7,0,96.9,MEDIUM
86.3,61.6,57.2,6.84,6.6,0,67.1,MEDIUM
86.9,66.0,72.6,8.49,7.3,4,93.6,MEDIUM
61.4,74.5,100.0,9.55,4.6,1,59.8,MEDIUM
96.0,63.7,75.5,4.54,,3,47.4,HIGH
54.0,73.8,65.3,4.32,6.8,1,70.4,MEDIUM
83.8,66.2,83.8,6.07,4.9,1,60.7,MEDIUM
100.0,29.4,77.2,7.87,3.0,4,41.4,HIGH
60.1,48.1,76.3,7.75,3.1,1,94.4,MEDIUM
66.5,62.4,79.1,8.6,4.5,3,52.6,HIGH
76.5,43.2,100.0,5.2,1.4,2,28.2,HIGH
67.4,75.8,53.0,3.53,3.7,4,91.6,HIGH
51.7,92.6,77.1,8.29,6.2,0,54.9,MEDIUM
76.0,86.9,56.1,5.76,0.0,0,52.8,MEDIUM
59.1,61.2,78.3,3.97,7.1,4,29.7,HIGH
82.1,91.8,56.2,7.22,6.2,1,,MEDIUM
61.2,67.7,63.7,8.19,3.1,0,39.2,MEDIUM
98.2,58.9,65.6,6.82,5.1,0,66.2,MEDIUM
63.3,54.0,84.6,6.31,4.0,3,83.3,HIGH
70.2,59.6,83.8,6.76,6.5,0,73.4,MEDIUM
87.2,58.0,51.3,6.44,6.0,1,,MEDIUM
56.5,68.1,70.8,4.98,1.2,1,31.0,HIGH
78.4,67.9,59.4,5.93,5.2,1,48.8,MEDIUM
94.6,65.1,51.1,7.78,3.6,0,68.8,LOW
50.9,72.9,66.7,7.48,4.2,3,49.3,HIGH
77.8,86.4,65.4,7.25,2.5,4,69.1,HIGH
78.9,82.1,100.0,5.51,7.5,0,78.6,LOW
86.7,38.3,76.5,6.73,6.1,0,84.3,MEDIUM
56.4,19.0,49.3,3.73,2.5,3,40.5,HIGH
55.2,81.8,61.5,7.27,1.3,1,100.0,MEDIUM
82.8,40.4,85.3,9.14,3.2,0,80.3,MEDIUM
79.5,61.0,100.0,4.79,4.9,3,65.0,HIGH
78.8,43.9,46.2,6.12,4.5,4,86.8,HIGH
80.2,32.6,41.8,7.49,6.5,0,100.0,MEDIUM
64.8,74.7,98.1,8.88,5.6,1,36.2,MEDIUM
78.5,78.7,75.8,6.33,5.9,2,60.5,MEDIUM
79.4,54.6,57.0,5.96,4.7,3,17.4,HIGH
64.3,18.4,78.0,4.05,1.2,0,68.9,HIGH
100.0,55.2,30.5,7.16,3.6,0,72.3,MEDIUM
82.1,72.1,70.1,10.0,6.1,0,64.2,LOW
57.1,38.4,74.9,7.42,3.9,0,51.9,MEDIUM
84.8,68.3,83.9,6.97,5.0,1,24.0,MEDIUM
60.4,64.7,54.8,7.48,3.4,2,72.5,HIGH
86.8,75.4,71.3,6.98,1.9,4,94.1,HIGH
92.4,67.2,56.1,5.78,3.8,0,53.2,MEDIUM
62.7,47.5,73.8,8.23,4.6,1,73.8,MEDIUM
89.5,86.5,56.6,7.34,2.7,0,33.6,MEDIUM
81.2,62.1,63.9,7.03,3.5,1,74.1,MEDIUM
87.3,64.5,55.1,5.54,2.1,0,57.1,MEDIUM
100.0,48.2,79.8,8.96,6.2,3,49.8,MEDIUM
71.3,57.0,82.9,8.0,3.4,0,49.8,MEDIUM
63.7,49.1,66.5,6.17,6.9,0,57.1,MEDIUM
61.7,61.9,70.6,8.5,7.1,1,,MEDIUM
62.8,95.8,48.3,6.25,3.8,0,38.8,MEDIUM
73.8,40.3,65.5,5.83,2.0,3,57.1,HIGH
80.1,36.0,69.2,5.86,0.0,0,64.2,MEDIUM
79.2,91.5,100.0,4.34,1.1,0,43.0,MEDIUM
87.4,61.2,53.3,7.71,1.3,0,100.0,MEDIUM
75.2,53.0,92.0,4.25,6.8,0,47.9,MEDIUM
96.8,83.7,85.0,5.16,4.2,1,51.6,MEDIUM
71.0,54.1,74.2,3.89,4.8,0,45.4,MEDIUM
100.0,97.9,96.4,6.87,0.0,4,100.0,MEDIUM
84.4,77.2,75.6,6.77,1.6,1,76.1,MEDIUM
62.1,56.2,75.8,6.51,5.8,0,46.3,MEDIUM
58.9,100.0,69.2,5.44,4.6,1,87.1,MEDIUM
82.2,54.1,88.4,5.24,3.7,1,69.0,MEDIUM
71.6,78.4,86.4,7.7,5.1,0,,LOW
85.7,70.4,60.6,6.17,7.3,1,58.1,MEDIUM
82.1,88.4,50.2,7.47,3.6,1,50.0,MEDIUM
73.9,93.1,67.0,5.67,4.1,2,71.8,MEDIUM
62.3,65.6,58.0,7.27,4.4,0,54.1,MEDIUM
52.3,51.4,69.0,8.95,8.8,3,100.0,HIGH
68.3,73.3,88.6,7.88,0.0,2,39.6,HIGH
87.8,52.8,63.1,6.38,5.4,4,95.7,HIGH
78.2,100.0,69.4,7.39,3.8,1,62.8,MEDIUM
56.3,67.5,70.9,6.64,5.1,3,71.0,HIGH
77.6,58.4,82.7,7.01,2.7,1,81.7,MEDIUM
80.8,68.3,36.3,6.51,3.9,0,52.4,MEDIUM
61.7,40.8,60.9,6.75,5.4,3,82.3,HIGH
77.3,47.5,73.2,7.32,10.2,2,10.8,MEDIUM
75.9,86.6,88.0,5.51,5.6,1,50.6,MEDIUM
57.9,53.2,62.6,5.48,2.3,2,46.5,HIGH
80.4,46.2,41.9,4.92,3.2,0,39.9,MEDIUM
83.4,74.7,79.3,4.6,3.1,3,60.7,HIGH
91.2,86.3,60.5,5.17,0.4,3,72.7,HIGH
90.8,77.9,52.2,7.24,3.3,0,79.1,MEDIUM
,82.9,60.6,5.66,5.5,1,69.8,MEDIUM
60.9,51.4,67.2,7.77,1.5,1,51.7,MEDIUM
82.7,39.4,60.9,7.05,6.1,2,72.4,MEDIUM
82.7,92.0,36.9,4.05,5.0,3,67.5,HIGH
82.7,59.2,83.5,7.98,2.5,1,83.7,LOW
100.0,60.5,89.1,8.22,3.7,2,80.5,MEDIUM
83.6,88.9,79.8,5.51,7.2,2,65.6,MEDIUM
92.0,75.0,52.9,7.63,5.5,0,47.1,MEDIUM
89.3,73.2,67.0,5.72,4.0,4,51.9,HIGH
84.8,100.0,69.9,7.15,3.5,3,54.0,MEDIUM
70.3,53.4,79.0,5.1,4.2,1,58.7,HIGH
86.4,81.7,80.0,4.31,3.0,3,70.4,HIGH
63.4,66.0,59.0,6.43,0.0,0,79.3,MEDIUM
71.4,69.8,71.2,6.81,8.1,2,64.0,MEDIUM
67.7,92.5,76.9,6.4,4.3,0,65.3,MEDIUM
76.2,74.1,91.8,5.22,4.8,0,67.9,MEDIUM
100.0,74.7,80.6,6.4,3.9,1,54.7,MEDIUM
47.0,84.3,81.8,7.4,2.5,1,46.5,HIGH
85.3,58.4,71.3,6.93,3.6,1,29.9,MEDIUM
50.8,49.9,91.2,7.27,0.8,0,51.1,MEDIUM
67.9,46.2,76.1,5.99,8.6,0,74.5,MEDIUM
91.3,29.6,57.1,8.76,1.5,1,50.9,MEDIUM
76.0,100.0,91.1,5.24,1.9,0,60.2,MEDIUM
58.8,45.1,80.5,7.73,3.1,0,74.3,MEDIUM
64.3,61.0,63.4,8.77,6.6,4,75.4,HIGH
85.2,60.0,62.8,7.72,4.0,4,43.4,HIGH
64.0,70.5,74.4,6.7,1.5,2,84.9,MEDIUM
78.2,79.7,76.9,6.21,6.5,4,87.5,HIGH
75.7,80.5,73.0,8.55,5.5,1,42.4,MEDIUM
65.2,54.5,74.7,4.87,5.1,0,48.5,MEDIUM
100.0,62.0,95.5,5.54,5.4,4,88.8,HIGH
84.5,70.1,86.1,6.4,8.8,2,62.1,MEDIUM
44.6,60.5,72.9,8.86,8.4,4,20.6,HIGH
77.8,93.9,84.1,7.57,2.6,3,37.0,MEDIUM
,73.8,54.5,5.55,7.2,0,60.0,MEDIUM
87.8,78.2,76.0,6.53,4.8,0,41.7,MEDIUM
63.1,76.9,97.1,6.08,5.0,3,56.7,HIGH
73.3,86.1,66.7,5.94,0.6,0,65.6,MEDIUM
82.6,68.3,57.3,8.47,3.7,0,94.2,MEDIUM
88.0,41.7,60.2,4.94,2.4,1,59.2,MEDIUM
57.0,72.2,53.7,9.41,5.7,4,86.5,HIGH
70.0,53.3,58.2,8.24,6.1,2,93.6,MEDIUM
67.9,55.5,64.4,8.64,0.0,1,93.7,MEDIUM
65.2,75.6,48.9,6.31,4.0,0,70.7,MEDIUM
100.0,87.3,70.2,6.78,6.2,4,25.7,MEDIUM
81.1,65.4,83.5,4.85,3.6,0,74.2,MEDIUM
56.1,70.6,56.4,6.21,5.5,0,86.0,MEDIUM
88.8,95.6,92.8,7.74,4.7,0,63.4,LOW
100.0,69.3,77.7,8.94,4.7,4,99.9,MEDIUM
90.5,100.0,85.5,5.34,3.5,3,82.2,MEDIUM
52.2,75.2,60.1,6.45,1.6,2,76.4,HIGH
67.7,33.3,82.8,6.77,1.8,1,86.7,MEDIUM
94.0,78.6,53.6,4.91,5.4,1,71.7,MEDIUM
64.4,71.9,83.4,7.89,4.0,0,15.1,MEDIUM
81.7,88.2,72.6,5.91,3.7,0,55.0,MEDIUM
86.6,77.1,78.3,6.71,3.2,0,88.9,LOW
61.1,62.5,52.4,6.32,3.4,1,48.8,HIGH
74.1,43.0,56.6,5.82,6.1,4,60.5,HIGH
26.4,61.2,79.0,6.99,3.3,2,44.1,HIGH
59.6,49.7,55.8,6.68,1.3,4,100.0,HIGH
71.2,54.6,76.9,6.44,5.5,4,98.6,HIGH
56.3,75.6,49.5,5.91,3.6,1,47.3,MEDIUM
99.5,95.1,82.7,7.48,4.1,1,67.9,LOW
53.5,72.1,51.5,9.48,7.2,4,51.4,HIGH
68.4,43.5,78.3,7.21,4.0,0,77.3,MEDIUM
77.0,73.0,79.4,8.49,4.6,3,75.2,MEDIUM
96.6,86.5,59.5,4.91,1.6,4,81.2,HIGH
53.5,54.0,78.7,7.24,3.6,0,71.6,MEDIUM
92.4,62.6,73.9,5.35,5.2,4,100.0,MEDIUM
